City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,Birao,10.2849,22.7882,66.78,24,95,9.6,CF,2022-12-10 05:15:17
348,Zhigansk,66.7697,123.3711,-22.56,96,100,6.55,RU,2022-12-10 05:15:18
349,Izberbash,42.5696,47.8645,42.1,88,100,20.02,RU,2022-12-10 05:15:18
350,Auki,-8.7676,160.7034,81.79,81,100,3.13,SB,2022-12-10 05:15:19
351,Nauta,-4.5061,-73.5757,71.8,98,100,1.81,PE,2022-12-10 05:15:19
352,Nago,26.5881,127.9761,75.63,78,86,15.3,JP,2022-12-10 05:15:20
353,George Town,5.4112,100.3354,85.93,82,20,10.36,MY,2022-12-10 05:15:13
354,Leh,34.1667,77.5833,22.69,59,90,5.03,IN,2022-12-10 05:15:21
355,Nuristan,35.3,70.8333,18.46,79,79,1.74,AF,2022-12-10 05:15:21
356,Kloulklubed,7.0419,134.2556,84.7,71,100,3.71,PW,2022-12-10 05:15:22
357,Port Macquarie,-31.4333,152.9167,67.89,60,84,7.29,AU,2022-12-10 05:15:22
358,Nelson Bay,-32.7167,152.15,70.09,63,69,5.99,AU,2022-12-10 05:15:23
359,Lambarene,-0.7001,10.2406,73.54,96,88,1.48,GA,2022-12-10 05:15:23
360,Matagami,49.7502,-77.6328,-9.13,98,19,3.87,CA,2022-12-10 05:15:24
361,Trat,12.5,102.5,87.12,60,84,8.99,TH,2022-12-10 05:15:25
362,Mazagao,-0.115,-51.2894,78.85,96,75,3.91,BR,2022-12-10 05:15:25
363,Kemijarvi,66.7131,27.4306,12.52,94,93,7.99,FI,2022-12-10 05:15:26
364,Artyom,40.4723,50.333,48.34,79,100,20.24,AZ,2022-12-10 05:11:11
365,Hasaki,35.7333,140.8333,60.22,57,56,6.82,JP,2022-12-10 05:15:27
366,Bonavista,48.6499,-53.1147,36.7,95,100,15.1,CA,2022-12-10 05:15:27
367,Balkanabat,39.5108,54.3671,34.56,42,4,13.96,TM,2022-12-10 05:15:28
368,Payo,-3.7508,103.6372,78.73,82,100,2.62,ID,2022-12-10 05:15:28
369,Sioux Lookout,50.1001,-91.917,22.66,93,76,9.46,CA,2022-12-10 05:15:28
370,Umm Lajj,25.0213,37.2685,74.61,47,0,11.16,SA,2022-12-10 05:15:29
371,Port Moresby,-9.4431,147.1797,83.98,72,61,7.07,PG,2022-12-10 05:15:29
372,Cuxhaven,53.8718,8.6909,30.96,93,15,4.61,DE,2022-12-10 05:14:30
373,Albion,42.2431,-84.753,32.81,94,100,5.75,US,2022-12-10 05:16:30
374,Kvarkeno,52.0833,59.725,2.28,76,22,7.74,RU,2022-12-10 05:16:31
375,Invermere,50.5167,-116.0354,13.48,95,88,2.95,CA,2022-12-10 05:15:13
376,Colares,38.7992,-9.4469,58.75,83,91,8.99,PT,2022-12-10 05:16:31
377,Genhe,50.7833,121.5167,3.6,88,100,4.12,CN,2022-12-10 05:16:32
378,Rockland,41.1668,-74.0496,34.65,52,0,6.78,US,2022-12-10 05:16:32
379,San Policarpo,12.1791,125.5072,82.24,81,91,5.06,PH,2022-12-10 05:16:33
380,Tevaitoa,-16.7833,-151.5,80.17,72,32,7.54,PF,2022-12-10 05:16:33
381,Barabai,-2.5833,115.3833,90.68,52,92,3.36,ID,2022-12-10 05:16:34
382,Nome,64.5011,-165.4064,29.16,100,100,5.75,US,2022-12-10 05:16:34
383,Bosaso,11.2842,49.1816,77.31,61,42,6.49,SO,2022-12-10 05:16:35
384,Taoudenni,22.6783,-3.9836,72.19,18,16,4.92,ML,2022-12-10 05:16:35
385,Ilheus,-14.7889,-39.0494,73.17,95,100,5.35,BR,2022-12-10 05:16:35
386,Rosetta,31.4044,30.4164,59.27,82,5,6.78,EG,2022-12-10 05:16:36
387,Comodoro Rivadavia,-45.8667,-67.5,58.86,41,0,14.97,AR,2022-12-10 05:16:36
388,Pevek,69.7008,170.3133,-7.17,99,100,3.6,RU,2022-12-10 05:16:37
389,Aklavik,68.2191,-135.0107,-0.53,95,100,7.83,CA,2022-12-10 05:16:37
390,Olutanga,7.3106,122.8464,81.84,73,27,4.81,PH,2022-12-10 05:16:38
391,Najran,17.4924,44.1277,65.05,39,4,1.66,SA,2022-12-10 05:16:38
392,Chiang Klang,19.2938,100.8617,86.97,50,6,2.26,TH,2022-12-10 05:16:39
393,Sinnamary,5.3833,-52.95,76.55,88,100,8.57,GF,2022-12-10 05:16:39
394,Maceio,-9.6658,-35.7353,74.64,94,0,4.61,BR,2022-12-10 05:15:11
395,Mokolo,10.7398,13.8019,63.41,25,0,3.98,CM,2022-12-10 05:16:40
396,Loreto,22.2667,-101.9667,54.09,60,2,5.14,MX,2022-12-10 05:16:40
397,Tsiroanomandidy,-18.7667,46.0333,75.24,59,46,4.74,MG,2022-12-10 05:16:40
398,Ossora,59.2353,163.0719,6.64,75,98,7.56,RU,2022-12-10 05:16:41
399,Sitka,57.0531,-135.33,33.69,86,75,3.44,US,2022-12-10 05:16:41
400,Piranhas,-16.4269,-51.8222,71.42,97,99,5.12,BR,2022-12-10 05:16:42
401,Clyde River,70.4692,-68.5914,-5.57,84,75,6.91,CA,2022-12-10 05:16:42
402,Calvinia,-31.4707,19.776,70.23,30,0,2.3,ZA,2022-12-10 05:16:42
403,Roald,62.5833,6.1333,28.76,68,37,13.8,NO,2022-12-10 05:16:43
404,Karratha,-20.7377,116.8463,100.13,21,1,18.48,AU,2022-12-10 05:16:43
405,Gat,31.61,34.7642,57.4,69,0,1.43,IL,2022-12-10 05:16:44
406,Manavalakurichi,8.1333,77.3,83.59,65,51,15.35,IN,2022-12-10 05:16:44
407,Margate,51.3813,1.3862,28.31,85,15,12.15,GB,2022-12-10 05:16:45
408,Shache,38.4167,77.2406,30.7,28,40,2.91,CN,2022-12-10 05:16:45
409,Dehloran,32.6941,47.2679,59.95,35,16,1.61,IR,2022-12-10 05:16:46
410,Axim,4.8699,-2.2405,77.77,85,4,4.47,GH,2022-12-10 05:16:46
411,Sassandra,4.95,-6.0833,77.25,88,13,4.52,CI,2022-12-10 05:16:47
412,Ust-Charyshskaya Pristan,52.3934,83.6635,3.47,87,65,14.74,RU,2022-12-10 05:16:47
413,Laguna,38.421,-121.4238,52.09,85,100,4.61,US,2022-12-10 05:16:47
414,Samarai,-10.6167,150.6667,85.33,71,85,5.55,PG,2022-12-10 05:16:48
415,Anage,-14.6122,-41.1356,67.89,97,100,3.29,BR,2022-12-10 05:16:48
416,Isangel,-19.55,169.2667,83.79,72,99,7.78,VU,2022-12-10 05:16:49
417,Skerries,53.5828,-6.1083,34.7,90,30,16.22,IE,2022-12-10 05:17:49
418,Katobu,-4.9408,122.5276,84.15,69,82,3.49,ID,2022-12-10 05:17:50
419,Bronnoysund,65.4625,12.1997,24.8,58,99,15.01,NO,2022-12-10 05:17:51
420,Zanesville,39.9404,-82.0132,40.17,89,100,6.91,US,2022-12-10 05:17:43
421,Aykhal,66.0,111.5,-31.4,100,99,6.04,RU,2022-12-10 05:17:51
422,Kibala,9.1104,18.3463,60.75,82,0,2.3,TD,2022-12-10 05:17:52
423,North Druid Hills,33.8168,-84.3133,57.22,88,100,6.91,US,2022-12-10 05:17:52
424,Amuntai,-2.4177,115.2494,93.49,43,98,3.69,ID,2022-12-10 05:17:52
425,Sobolevo,54.4299,31.8996,28.76,98,100,4.43,RU,2022-12-10 05:17:53
426,Katsuura,35.1333,140.3,56.97,58,65,4.85,JP,2022-12-10 05:17:53
427,Sur,22.5667,59.5289,79.61,55,0,12.41,OM,2022-12-10 05:17:54
428,Ilulissat,69.2167,-51.1,33.82,47,20,20.71,GL,2022-12-10 05:17:54
